,post_time,title,content,label
31,2019-09-11,Re: [新聞] 川普要中共負擔清朝債務 陳冲：已過追討,忽然想到  淪陷區持股被中華民國凍結的事情  比較有名的就 招商局（陽明）、交通銀行（兆豐）、上海商銀  股權被凍結，直到光復大陸  不知當年是怎麼處理這些問題？  上海商銀還因此被卡著不給上市  後來利用現金增資來稀釋淪陷區股權？   還有一家神秘的耀華玻璃  中國本部還在，不知會不會來搶？  經濟部控制的耀華玻璃  持有大量中華開發、台積電股票  資產據說有一百億  然而經濟部商工登記卻查不到  說不定是台股超級大黑手  -- ,跌
39,2020-01-31,[新聞] 陽明海運人事地震 公司低調不願證實,"1.原文連結： https://www.cna.com.tw/news/afe/202001310221.aspx  2.原文內容： 陽明海運人事地震 公司低調不願證實  陽明海運人事大地震，春節前夕一口氣調整財務長與策略長職務，據傳總經理林文博申請 退休，對此陽明低調不願證實，僅說2月將召開董事會討論人事。  陽明在22日公告策略長白崑榮與財務長李詩周兩人職務調整，引發外界關注，隨後傳出， 主要是董事會針對10年前陽明辦理2艘20呎櫃的售後回租案，當時約定租期到期可用半價 買回，由於附加條款有解釋爭議，造成陽明必須付出和解金。  導致陽明在去年提列損失拖累營運表現，去年第3季稅後淨損大虧新台幣13.77億元，創下 5季以來最大虧損額度，較2018年同期淨損9.1億元，擴大虧損幅度達51.3%，每股稅後淨 損為0.53元。累計前3季稅後淨損33.24億元，較2018年同期虧損66.74億元，已改善5成， 每股稅後淨損1.28元。  據傳，獨立董事在董事會上對於10年前的售後回租案有意見，認為當年決策過於草率，其 想法獲得交通部支持，因此才會在春節前夕調整兩大主管，現在傳出，林文博申請提前退 休以示負責。  陽明證實，策略長與財務長的人事調整，確實與10年前售後回租案有關係，主要是董事會 部分董事對該案有不同解讀。  至於林文博是否會異動，公司則僅低調表示，2月董事會討論人事後，待行政院核定再對 外說明。  3.心得/評論： 售後回租,當初如意算盤不知到怎麼打的 造成虧損,董事們不爽 要把策略長財務長拔掉惹? 今年營運表現有機會改善嗎? 另一家長榮股價也還在低檔.......  ",跌
40,2020-02-03,[新聞] 陸股大逃殺！超過3000檔個股跌停,陸股大逃殺！超過3000檔個股跌停　法人：資金默默卡位、可逢低撿便宜 2020年02月3日 11:47  記者周康玉／台北報導  陸股今（3）日開紅盤，受武漢肺炎疫情衝擊，上證指數、深證成指、滬深300、創業板4 大指數開盤全面跳空重挫逾8%；其中，個股大面積跌停，超3000檔個股跌停，逾3200只個 股跌幅超9%。市場法人表示，儘管受到疫情衝擊，中國大陸股市北上資金持續挹注，建議 投資人不妨以定期定額或分批進場的方式適度布局中國相關ETF或大中華基金，把握投資 契機。  法人表示，觀察包括深股通、滬股通的北上資今年來還是呈現流入，共淨流入383.92億人 民幣。換言之，法人資金卡位明顯，股市可望持續受惠，中國股市中長期後市表現可期。  陸股4大指數今日跌幅皆在8%以上；上證指數以2716.7點開出，指數開盤重挫259.83點、 深證成指開盤也直接回測9706.58點、滬深300開盤則回測3639.91點、創業板開盤也回測1 769.16點。  群益深証中小板ETF基金經理人張菁惠表示，A股已經被納入全球多種指數體系，外資將持 續提高在A股市場的參與度，外資藉由北上通道增加A股投資，北上資金（滬股通+深股通 ）已成為第二大資金流入A股市場。  此外，張菁惠表示，MSCI於去年11月進行第三次擴容，A股權重將從15%提高到20%，且首 次納入中型股，預估可望陸續帶來將近人民幣2000億的資金流入，不過，參考台韓過去被 MSCI納入指數的發展過程，外資佔A股權重還有很大提高空間。北上資金從2019年6月開始 至今已連續8個月呈現淨流入，期間共流入3363.71億人民幣。深滬通北上資金將持續湧入 中國股市，進而有機會帶動中國股市上漲契機。  群益中國新機會基金經理人洪玉婷表示，中國在企業獲利面表現仍相對樂觀，加上資金面 的挹注，皆有助為股市表現提供穩固支撐。隨市場利率往下，有助於風險偏好改善，成長 股估值可望修復，加上外資持續匯入，白馬權值可望受惠，績優藍籌以及成長股仍將為盤 勢主流。  從貨幣政策來看，洪玉婷表示，中國貨幣政策可望進一步寬鬆，並提高基礎建設投資，對 沖經濟增長趨緩的壓力。科技創新與消費升級將是增長的動力來源，重點關注股市落底訊 號。在經濟增速趨緩的環境下，看好消費升級帶來的企業獲利增長，包含民生消費和醫療 服務。另外，針對供應鏈調整，政府將加大力度投資發展，看好5G相關領域。基建投資有 機會對原物料需求有拉動效果，將持續密切關注。  第一金中國世紀基金經理人張帆表示，從歷史經驗來看，雖然金融市場面對不確定性時， 會造成一定的震盪，甚至走跌，但只要此次疫情依舊能夠獲得控制，市場應該很快就能恢 復秩序。故股市在疫情期間因恐懼情緒導致的暫時下跌，投資人反而要堅定信心， 是逢 低進場加碼的好時機。  https://www.ettoday.net/news/20200203/1636738.htm  武漢肺炎》洩漏安置處 柯文哲：不然你衛福部給公文就寫密件 2020-02-03 11:02  〔記者沈佩瑤／台北報導〕政府擬將滯留武漢的台灣人撤回，並集中安置，未料台北市長 柯文哲昨（2日）向媒體說漏嘴，洩露將安置在陽明山的台銀宿舍。消息一出不但指揮中 心指揮官、衛福部長陳時中揚言，將會依法處置；文化大學學生會也緊急發聲明，怒批不 當言論掀恐慌。  但柯文哲今天早上受訪堅不認失言，反嗆「不然你衛福部給我北市府一個公文，上面就註 明密件，這樣我就不會講」，強調自己是遵守SOP的人，「所以你要跟我講說，什麼話我 可以講、什麼話我不能講，不然就事先公布。」  https://news.ltn.com.tw/news/politics/breakingnews/3055765  哇！！中國股市大崩盤，柯文哲市長的中國基金慘了，誰通知市長可以逢低加碼了？  https://i.imgur.com/z8innEL.jpg       -- ,跌
46,2020-07-20,[新聞] 自體血液PRP再生因子 終結糖尿病患截肢,1.原文連結： https://healthmedia.com.tw/main_detail.php?id=29659 2.原文內容： 2012-06-13 00:00:00  57 【NOW健康 陳如頤／台北報導】 自體血液PRP再生因子 終結糖尿病患截肢悲劇 　　一名七旬開貢丸店的阿嬤，因一場車禍意外削掉整片大腿皮膚，未及時妥善治療，從 車禍事發到皮膚潰爛所導致傷口未能癒合，足足拖了8個月才就醫。阿嬤住院2個多月期間 ，用盡各種抗生素和相關治療，但卻毫無起色。所幸有「再生因子」讓她保住大腿、免於 被截肢命運。 　　新店慈濟醫院整形外科主治醫師黃維超表示，貢丸阿嬤的傷口情況相當惡劣，使用抗 生素治療也無效，他求助於專精血液再生因子應用於組織修復的蘇正堯教授，希望透過再 生醫學的協助，讓病患傷口癒合。  　　現職於世界預防與再生醫學學會（WCPRM）會長、國立陽明大學牙醫研究所的蘇正堯 教授指出，以往糖尿病病患常面臨截肢的風險，現在有了PRP「再生因子」療法，對糖尿 病病患來說無疑是一大福音，不但能保住雙腿，讓生活品質提高，還可做更多事情。  　　其實人體有驚人的自癒能力！蘇正堯解釋，當身體受到傷害時，大腦會發信號給血小 板，在身體正常機能運轉的情況下，這些血小板會為促進傷口癒合而產生各式各樣的再生 因子，而PRP技術，就是利用這種原理，來幫助術後的傷口瘉合。  　　所謂的PRP（Platelet Rich Plasma）就是指高濃度血小板血漿，經由離心與純化後 ，將紅血球去除（但保留白血球），用適當激發劑來活化高濃度的血小板與血液幹細胞， 釋放再生因子。也就是說，利用自己身體血液的「再生因子」來達到回春、抗老化、再生 等作用。  　　目前在臨床上，與幹細胞相關的應用就是PRP血漿再生因子。PRP療法的概念就是從外 科手術對於不易癒合的傷口，或加速移植組織存活率的應用而來，因為血小板中有大量的 再生因子，於受傷過程被身體某些化學物質激化後，便釋放出多種再生因子、幫助修復。  　　黃維超醫師提到，使用自體血液PRP「再生因子」成分來敷傷口，能縮短發炎、降低 紅腫疼痛、促進細胞再生、組織修復、加強鎮定舒緩肌膚、緊實肌膚、增加真皮層膠原蛋 白合成，藉以達到加速傷口癒合。目前醫學界也研發了「再生因子」敷料來幫助病患做皮 膚傷口修復及癒合，將可大幅降低糖尿病患截肢悲劇。  自體血 3.心得/評論： PRP自體修復的費用會是多少??? 合一的藥膏上次看到估價一條是一萬多，只有6成的人有臨床效果 PRP超過六成的機會太大 現在就看費用問題 合一可以退下了  -- ,跌
49,2020-09-07,[新聞] 海運貨櫃運價瘋漲　法人看好長榮、陽明,https://www.ettoday.net/news/20200907/1802804.htm  美國感恩節下月到來，受到疫情因素干擾，歐美客戶提前備貨，帶動海運貨櫃運價飆漲，法 人分析指出，九月以來貨櫃運價綜合指數SCFI持續創高，顯示市場需求強勁，看好長榮、陽 明及萬海等貨櫃航商的後市表現。   今年以來新冠肺炎疫情衝擊全球，民生消費習慣也有所改變，像是遠距上班、遠距教學帶動 電腦、電視等消費性電子商品銷售，或是因應在家運動、飲食的宅經濟商機，推升貨櫃輪的 主力航線遠東-北美線及遠東-歐洲線，今年都出現同步大漲。  法人分析指出，今年第三季的貨櫃運價、運量更勝第二季表現，依據上海航交所公佈最新SC FI貨櫃運價綜合指數，9月4日最新報價（每週1次報價）單周上漲4.6%，再創新高，加上油 價仍維持低檔，也讓貨櫃航商今年獲利出現想像空間。  貨攬業者表示，依據行業慣性，通常七、八月後貨櫃運輸需求會轉弱，但今年各界擔憂新冠 肺炎疫情恐在秋冬捲土重來，加上中美貿易戰前景未明，歐美廠商提前搶運，今年九月貨櫃 航運進入2010年來首見的小旺季，推升遠東-美東線運價站上每40呎櫃4538美元，下周報價 更上看5000美元大關，可望續創歷史新高價。   評: 九月報價還在持續攀升，九月提前備貨感恩節運量又增加，現在上車應該還可以撈吧  -- ,跌
54,2020-09-24,[其他] 109年09月24日 外資買賣超個股前50名,"代號    名稱    成交價  外資買  外資賣  買超合計  1304    台聚    16      7,700   3,183   4,517 6147    頎邦    64.5    5,199   1,163   4,036 1312    國喬    18      5,673   2,161   3,512 2449    京元電子29.9    6,509   3,001   3,508 2401    凌陽    13.85   4,827   1,573   3,254 2006    東和鋼鐵28.75   4,656   1,441   3,215 1444    力麗    11.2    7,763   4,943   2,820 2504    國產    23.65   4,333   2,043   2,290 1714    和桐    10      3,898   1,921   1,977 1309    台達化  27.7    3,836   1,878   1,958 2368    金像電  47      8,800   6,862   1,938 6125    廣運    29      2,497   644     1,853 2342    茂矽    29.1    2,669   873     1,796 2345    智邦    206.5   3,805   2,091   1,714 2609    陽明    9.01    3,458   1,765   1,693 3189    景碩    64.9    3,998   2,350   1,648 9958    世紀鋼  131     2,532   1,105   1,427 6278    台表科  104.5   2,898   1,503   1,395 3078    僑威    41.25   1,568   199     1,369 6288    聯嘉    39      9,194   7,859   1,335 6116    彩晶    8.4     11,795  10,481  1,314 3042    晶技    77      3,158   2,031   1,127 1795    美時    84.4    1,777   662     1,115 3703    欣陸    19.45   3,338   2,243   1,095 2615    萬海    19.2    3,028   1,943   1,085 6230    超眾    262     1,201   130     1,071 3704    合勤控  24.4    2,426   1,364   1,062 4976    佳凌    45.2    2,398   1,338   1,060 4142    國光生  72      2,631   1,572   1,059 1598    岱宇    116.5   1,584   551     1,033 3576    聯合再生12.25   9,325   8,315   1,010 3665    貿聯-KY 231.5   1,176   278     898 2426    鼎元    15      1,255   403     852 4906    正文    25.6    1,902   1,065   837 2481    強茂    35.3    3,072   2,276   796 1785    光洋科  41.5    2,273   1,501   772 6104    創惟    77.5    2,090   1,330   760 2636    台驊投控34      1,065   318     747 5264    鎧勝-KY 85.8    1,356   654     702 6274    台燿    119     1,712   1,023   689 2505    國揚    24.6    2,902   2,220   682 6269    台郡    123     1,333   659     674 4133    亞諾法  83.2    3,669   3,030   639 2308    台達電  183     5,016   4,384   632 2809    京城銀  36.55   1,964   1,336   628 3044    健鼎    112.5   1,410   789     621 1477    聚陽    178.5   2,045   1,431   614 2458    義隆    149     1,713   1,113   600 1526    日馳    47.7    1,318   746     572 2417    圓剛    62.5    2,863   2,305   558  代號    名稱    成交價  外資買  外資賣  賣超合計  2888    新光金  7.85    3,526   55,123  -51,597 2330    台積電  423     13,817  54,840  -41,023 2891    中信金  17.6    8,584   49,053  -40,469 2884    玉山金  24.9    4,233   28,204  -23,971 2886    兆豐金  27      8,780   32,204  -23,424 2883    開發金  8.21    6,971   29,317  -22,346 2881    富邦金  40.6    4,696   26,313  -21,617 2882    國泰金  38      1,578   19,281  -17,703 2317    鴻海    75      10,769  28,281  -17,512 2890    永豐金  10.5    446     16,655  -16,209 5880    合庫金  19      1,500   17,532  -16,032 2892    第一金  19.9    1,663   17,653  -15,990 3231    緯創    28.85   3,017   18,806  -15,789 2834    臺企銀  9.21    1,796   17,005  -15,209 2409    友達    11.15   37,532  52,345  -14,813 2880    華南金  17.25   2,349   16,635  -14,286 2887    台新金  12.4    963     13,323  -12,359 1216    統一    61.7    2,986   14,880  -11,894 1301    台塑    78      2,683   13,207  -10,524 2356    英業達  21.7    2,404   12,698  -10,294 2603    長榮    14.8    43,721  53,924  -10,203 2801    彰銀    16.9    948     10,873  -9,925 2303    聯電    25.95   73,298  83,152  -9,854 1303    南亞    58      1,645   11,043  -9,398 2618    長榮航  10.65   2,513   11,666  -9,153 2002    中鋼    20      8,856   17,593  -8,737 2823    中壽    19.3    2,323   10,632  -8,309 1326    台化    66.8    705     8,857   -8,152 3481    群創    9.58    53,642  61,767  -8,125 1402    遠東新  24.85   834     8,609   -7,775 1314    中石化  8.39    1,237   8,922   -7,685 2885    元大金  17.15   9,970   17,559  -7,589 9904    寶成    26.05   1,294   8,296   -7,002 2610    華航    8.07    10,613  17,300  -6,687 3017    奇鋐    65.3    5,055   11,707  -6,652 6443    元晶    29.5    814     7,279   -6,465 2412    中華電  107     403     6,607   -6,204 3711    日月光控58.2    3,316   9,462   -6,146 2105    正新    35.7    722     6,739   -6,017 6505    台塑化  79.4    871     6,739   -5,868 5876    上海商銀37.35   1,651   7,507   -5,856 2448    晶電    34.8    4,662   10,264  -5,602 3045    台灣大  96.4    1,255   5,948   -4,693 2633    台灣高鐵30.35   907     5,215   -4,308 3037    欣興    73.8    7,470   11,734  -4,264 2301    光寶科  45      1,612   5,713   -4,101 2323    中環    7.83    1,162   4,905   -3,743 1434    福懋    30.65   526     4,193   -3,667 2324    仁寶    18.8    3,972   7,611   -3,639 1440    南紡    11.35   2,033   5,592   -3,559  -- ",跌
72,2020-12-04,[新聞] 「台灣2035年禁售燃油機車」政策急煞車,【減碳大轉彎！「台灣2035年禁售燃油機車」政策急煞車】  TVBS News / 記者 劉俐均  節能減碳是世界趨勢，但原本行政院拍板，「2035年禁售燃油機車」政策，不到一年，卻 因為產業壓力下喊卡，政策大轉彎，甚至訂下「油電併行」同樣補助七期燃油車，讓不少 環保團體憂心，這樣恐怕不僅減碳成效不彰，還是走回頭路。  一輛輛機車就像是瀑布一樣傾瀉而下，這是台灣特有街道奇景，在各個馬路、 巷弄內都可以看到機車族穿梭身影，但燃油機車占比高，其實也嚴重影響到空氣品質。  陽明醫院胸腔重症醫師蘇一峰：「台灣空氣汙染的頭號敵人、頭號戰犯最多的 占三分之一的，其實是什麼是移動汙染，講的就是我們這個交通工具的汙染源。  台灣有很多不抽菸的族群，卻得到肺部疾病，不論是氣喘、肺阻塞，甚至肺癌。」 空氣汙染不只存在工業區，而是隨處可見，尤其移動汙染源正是PM2.5的主要貢獻來源， 排放的廢棄對人體恐怕也會造成嚴重傷害。  記者劉俐均：「在行政院定調油電併行政策之下，環保署又祭出七期油車換購補助， 各縣市的環保局也紛紛加碼，不過這樣政策一出，也讓學者以及環保團體擔心， 對空汙以及環境排碳的影響是走回頭路。」  台灣環境保護聯盟會長劉志堅：「在汙染方面，油車還是很汙染，電動機車好很多， 油車還是排比較多的二氧化碳。」   --  心得：  如果真的 2035 禁售燃油車，那特斯拉大漲也是應該的事。  只剩不到 15 年。   -- ,跌
73,2020-12-04,[新聞]  台股台股新聞 台灣50成分股納入聯詠,台灣50成分股納入聯詠、剔除光寶科  1.原文連結：  https://tinyurl.com/y6q6znlk  2.原文內容：  富時羅素今 (4) 日公布包括台灣 50 指數等成分股調整，其中與台股大盤高度連動的台 灣 50 成分股新增 IC 設計股聯詠 (3034-TW)，剔除光寶科 (2301-TW)，相關調整預計 1 2 月 21 日生效。  至於候補名單，則納入亞德客 - KY(1590-TW)、智邦 (2345-TW)、欣興 (3037-TW)、光寶 科 (2301-TW)、儒鴻 (1476-TW)。  富時羅素今天公布台灣 50 指數、台灣中型 100 指數、台灣資訊科技指數、台灣發達指 數與台灣高股息指數審核結果，相關成分股變動將從 21 日當天開盤後生效。  中小型股部分，台灣中型 100 指數成分股新增光寶科 (2301-TW)、大同 (2371-TW)、聯 合再生 (3576-TW)、永豐餘 (1907-TW)、亞太電 (3682-TW)；剔除聯詠 (3034-TW)、日友  (8341-TW)、和大 (1536-TW)、神隆 (1789-TW)、葡萄王 (1707-TW)。  中型 100 指數候補名單則有正隆 (1904-TW)、景碩 (3189-TW)、陽明 (2609-TW)、奇力 新 (2456-TW)、國產 (2504-TW)、東和鋼鐵 (2006-TW)、愛普 (6531-TW)、南帝 (2108-T W)、超豐 (2441-TW)、彩晶 (6116-TW)。  台灣資訊科技指數成分股新增大同 (2371-TW)；台灣發達指數成分股新增：聯合再生 (35 76-TW)、永豐餘 (1907-TW)、亞太電 (3682-TW)；刪除日友 (8341-TW)、和大 (1536-TW) 、神隆 (1789-TW)、葡萄王 (1707-TW)。  台灣高股息指數成分股新增，開發金 (2883-TW)、遠雄 (5522-TW)、興富發 (2542-TW)； 刪除聯詠 (3034-TW)、華新科 (2492-TW)、華新 (1605-TW)。    3.心得/評論：  這次不是”傳“了 聯詠終於納入台灣50成份股內了 不過被56刪除 鄉民您這次的觀察？  -- ,跌
74,2020-12-07,Re: [標的] 長榮海 2603 史狀拜 (附對帳單),運價持續飆:  https://www.sse.net.cn/index/singleIndex?indexType=scfi  https://imgur.com/a/Ep18OFv  SCFI指數來到驚人的2129....  可以參考宏遠11/23的報告:https://imgur.com/a/WDRURn2 (30多頁  供參)  Q2的SCFI指數平均是895，長榮Q2 eps+0.66  Q3的SCFI指數平均是1182，長榮Q3 eps+1.7  Q4的SCFI指數目前來到2129，全季平均估計不會低於1700  Q4 eps會到哪我已不知該怎麼算...反正一定遠不止前文估計的與Q3持平的1.7元  運價照現在這種價格持續到年底的話Q4單季+3元其實也不會太意外   前陣子東南亞線漲到歪，主營東南亞的萬海11月股價也漲到歪  上周東南亞線緩漲休息了，但長榮主力經營的歐洲線跟美國線運價依舊強勢  上面連結宏遠那份報告提了蠻多內容，包括了淡旺季運價和股價的關聯度、長榮在供給端  的優勢、明年換約的預期利潤增幅...等，有空可以看看評估參考。  雖然我不太懂位啥他給萬海的目標價PB(明年底)有2倍、陽明的有1.5倍，  但長榮的只有1.3倍...可能是怕估太高離現價太遠會顯得太豪洨(?)   以目前的運價估計，長榮Q4至少+2.5~3元，全年+4.77~5.27元。  2020年底淨值19.18~19.68元。  2021還有美國線換約效應:  目前的長約是去年簽的，運價每FEU才1000多美元。  而目前的運價是美東4700美元，美西3947美元。  明年換約的潛在EPS增幅還很驚人。預期長榮明年光換約就可以多貢獻2元以上的EPS增幅  2021年EPS估計在6元以上。2021年底淨值估計25~26元  抓1.5倍PB當目標價的話就是37.5~39元，要是跟萬海一樣來個2倍PB就...  (長榮過去幾個獲利爆發年2004、2005、2007、2010年基本上至少都有1.5倍PB)   然後船運龍頭馬士基近日剛公告又要多收一條旺季附加費:  https://imgur.com/a/C2KZhxe  運價漲不夠，附加費也通通收起來~~~    長榮股價還停在這多半還是被法人的ECB無腦鎖單賣單壓抑住的:  https://imgur.com/a/Wx1yNNp  長榮這種大牛的借券費率可以來到10%真的也是很驚人...  人家ECB賺了3~4成，有本錢這樣不計成本的鎖單...小弟也是佩服佩服。   運價續飆，因此設定的目標價也提高，小弟持續加碼中:  https://imgur.com/a/maZq6fF  https://imgur.com/a/WDwBoRt  目前持有現股9000張+股期1332口，約當11664張的部位  -- ,跌
79,2020-12-15,[新聞] 《盤後解析》電子挨打 台股大跌142點失守,-------------------------------發文提醒---------------------------------- 1.發文前請先詳閱[新聞]分類發文規範，未依規範發文將受處份。 2.連結過長請善用 https://goo.gl/ 縮網址，連結能不能點擊者板規1-2-2處份。 3.心得/評論請盡量充實，心得過短或濫竽充數將會以1-2-3&一行文規範水桶處份。 ---------------------------按ctrl+y可刪除以上內容。----------------------  1.原文連結： http://bit.ly/2Wg9Mld  2.原文內容：  2020年12月15日 週二 下午2:39 【時報記者郭鴻慧台北報導】美股昨夜漲跌參半，台股晨盤以小跌4.72點開出後，一度翻 紅爬升至14256.55點、站上5日線，惟台指期明天結算，外資買VIX大增空單，空頭蠢蠢欲 動，被動元件雙龍頭國巨(2337)、華新科(2492)被盯上，股價一路被壓著打，國巨500元 關卡失守，終場跌幅均超過6%、雙雙摔出五日線，並拖累友達(2409)、群創(3481)、聯電 (2303)、南電(8046)、鴻海(2317)、玉晶光(3406)、華邦電(2344)等權值軍團跟隨走弱， 主帥台積電(2330)孤軍難擋，連近期強勢的航運、鋼鐵、金融等傳產類股也在空頭氣焰高 張下，陸續翻黑，終場集中市場收14068.52點，大跌142.53點，總成交值2730.17億元； 店頭市場收176.93點，跌3.35點，總成交值617.48億元。  分析師表示，台股早盤雖一度挑戰5日線，不過，賣壓伺機出籠，終場指數跌破10日線， 正式展開整理格局。外資長假在即，昨日已連4日賣超，在期貨市場也持續加碼空單，整 體淨空單口收已逼近5000口。明日為期貨、選擇權月結算日，預期明日台指期結算後，外 資進出台股部位逐步降低可能更為明顯，本週自下半周開始，內資主導台股走勢將更為明 確，投信等法人加碼的中小型股，有機會成為行情聚焦點。  在盤面表現上，造紙股逆勢攀高，表現領先八大類股，榮成(1909)收在20.85元，上漲 3.99%、華紙(1905)收在10.35元，上漲3.5%；被動元件成為重災區，國巨(2327)、華新科 (2492)收盤皆重挫6%以上；航運股今日先漲後跌，華航(2610)漲停未能鎖住，終場收在 11.7元，上漲6.36%、陽明(2609)收在15.55元，上漲3.32%；金融股表現弱勢，金融股方 面，富邦金(2881)收在45.85元，下跌3.07%，國泰金(2882)收在41.1元，下跌1.67%；緯 創(3231)印度廠暴動利空陰霾未散，收在30.05元，下跌3.22%。  匯率方面，新台幣近期漲勢兇猛，幾乎日日寫新高，由於出口商拋匯賣壓沉重，今天盤中 最高升抵28.14元、勁揚3.1角，再度改寫近23年半新高紀錄，上半場收盤，新台幣兌美元 為28.160元，升值2.9角。專家表示，台灣經濟成長表現良好，出口訂單暢旺，加上量化 寬鬆規模遠不如其他國家，新台幣匯率被視為有價值的貨幣，短期內升勢恐難擋。  分析師表示，各地疫情又入高峰，紐約傳出有可能封城，市場憂心忡忡，年底長假在即， 美股進入整理，台股今日跌破10日線，短期將偏向震盪整理，首先將看月線是否有，若是 未能守住，不排除出現跌勢，操作上建議不要追高。此外，台積電17日除息、美國聯準會 也將在當日凌晨宣布最新利率會議結果，是否調整購債組合或釋出可能調整時機，均須留 意。  3.心得/評論： 現在外資淨空單，明天選擇權結算。好奇明天尾盤會向下結算嗎? 感覺可以進去低接一下。      -- ,跌
