,post_time,title,content,label
64,2019-05-08,[新聞] 罷工若衝擊營運 長榮航：停年終 不加薪,1.原文連結： https://money.udn.com/money/story/5612/3801063  2.原文內容： 罷工若衝擊營運 長榮航：停年終 不加薪  航空業的經營外表看似風光，要經營的有聲有色很艱難，罷工陰霾已成為國內航空心中無 法承受的痛。長榮航空在面臨罷工投票前夕，再度主動跟員工說明，讓所有的員工知道， 如果真的罷工後，公司會面臨的困境，員工所遇到的情況會是什麼。  國內的航空業者相繼陷入罷工陰霾，國內的航空專家也認為，勞工訴求還是不能脫離企業 永續經營的框架；尤其，航空業受到外在經濟變動、油價等影響很大，根據長榮航空18年 來的獲利加總計算，長榮航空每年的平均獲利僅9億元，是不是能再支付優於國際水準的 勞動條件，是必須要仔細考量。  學者專家也指出，罷工爭取權益長榮航空影響決對是長期性，對員工也不見得好，未來業 績短少，營運效益不好，長榮迒空是民營企業，如果長期經營不善，勞工爭取權益還能達 標嗎?長期還可能發生殺雞取卵效應，最終受傷最大是勞方。  長榮航空今天發給員工的一封信全文如下：  鑒於近期「桃園市空服員職業工會」即將發起罷工投票，此舉在心理上，已造成部分旅客 對行程安排的不確定性，也造成公司自五月份以來訂位與載客率之下降。若該罷工投票通 過後，後續工會並據以發起罷工行為，將更嚴重地衝擊公司營運。  雖公司不願見到此一情況發生，由於大家是生命共同體，一直以來都是休戚與共、同甘共 苦，為使同仁有適當之心理準備，若最後真的無法避免發生罷工，公司因罷工後損失了許 多原本可以持續提升所有員工勞動條件之資源，後續公司將不得已而採取因應措施如下， 敬請所有同仁知悉與體諒：  1、若罷工導致公司獲利大幅下滑，甚至虧損，基於持續營運與恢復公司競爭能力考量， 將暫停年終獎金與年度調薪，直至公司恢復獲利為止。  2、承前，因罷工期間公司營運勢必面臨重大影響，有暫停或限縮福利措施的必要，故， 依「長榮航空公司國際航線員工優待機票福利辦法」第26條「本公司得視營業狀況於一定 期間或區間停止或限制優待機票之使用」之規定，公司自罷工首日起三年，將暫時停止所 有員工及眷屬申請/使用本公司員工優待機票暨聯航(ZED)優惠機票；  惟為鼓勵全體空、地勤員工於罷工期間支援公司，避免損害旅客權益，只要於罷工期間同 仁依班表出勤者，與配合公司調整班表者，不受此限。  公司負有持續穩健經營以提升全體同仁勞動條件的使命，倘若罷工發生，懇請同仁全力支 持公司，莫忘您加入航空業的初衷，大家團結合作來維護所有信賴長榮的旅客之權益，盡 可能降低此罷工情況對他們的衝擊，持續為公司與我們自己的未來努力。  3.心得/評論： 惟為鼓勵全體空、地勤員工於罷工期間支援公司，避免損害旅客權益，只要於罷工期間同 仁依班表出勤者，與配合公司調整班表者，不受此限。  ,跌
65,2019-05-09,Re: [新聞] 罷工若衝擊營運 長榮航：停年終 不加薪,雖然比較希望勞工可以改善待遇  但真的要搞資方工具還是比較多，畢竟一般人比較難接受長時間沒收入  看看之前另一家怎做的 https://www.twreporter.org/a/after-china-airlines-strike-union-02 Step1:懲處工會員工 Step2:員工告就跟你法律戰拖 Step3:即使裁決出來成功， i.罰3～15萬不痛不癢 ii.要嘛不執行，要嘛找新事由再跟你訴訟 Step4:引入實習生以及外籍組員取代你 透過不斷訴訟讓勞工上法院付出心力  畢竟對跨國公司來說 a.有外站人員可以臨時調配 b.還有同聯盟的航空可以互相協助  不過有一點不解的是，現在明明出國人數都創新高，而且在旺季的機票也不便宜，加上最近油價也不高  長榮又是算世界評價前面的公司  但是卻只賺9億元  到底是資方財報操作有道  還是真的航空業不好賺  有人能說明一下嗎    ,跌
66,2019-05-09,Re: [新聞] 罷工若衝擊營運 長榮航：停年終 不加薪,這檔喔 就是錢抱著 等罷工 或者急殺就可以當股東了 至於空姐罷工之類 我就不說了 以前華航罷工時候 我PO文就一堆跳出來舔妹的 這些騎士臭酸軍早就被拋棄了 (看過拋棄式衛生紙嗎)  當初華航罷工我進場買9.06元阿 超爽的 那個離職董事長 軒軒 同意後馬上噴出 有夠爽 後來漲到10元陸續出場，一路就緩跌回來了  看看這次華航罷工不也是? 罷工因為之前有經驗也不急殺 等到同意後開始緩跌，今天就掃到颱風尾阿 華航操作波段就是靠近9元慢慢接，拉上去10元慢慢賣  回到正題  長榮航公司派成本大概就14.5元了 只要及急殺破14元分批買入急拉後設好停利點(跌破就跑) 就可以獲利了結了  這次訴求是薪水問題，很多都答非所問 更多的是該罷工的群體不去罷工，然後就開始上眼藥 只要反對罷工就是資方狗 (沒救了)  這次長榮航傷的是罷工還沒開始就提前給時間 導致更多旅客可能不敢再暑假買長榮航的機位 變成短多長空，所以急殺後買入 急拉後要出 前提是真的罷工成功XD  發大財  台股大盤海水退潮嚕 更多的是沒穿內褲出來見人的    這檔沒人再等除息 拿長期的拉 波段炒一波 賺到手就可以下飛機了 個股一大堆 幹嘛綁在這檔上面 要買長期也輪不到長榮航 其實空姐也真的不要怪人不相挺 之前騎士軍被利用玩完之後呢？ 還有觀感問題也要顧一下 更多的是當代購 去游玩 去HAPPY po文打打ig 你觀感給人這麼差 讓人怎麼挺得下去 要挺我寧可等護士群出來罷工時候 我來相挺XD  等等要來買丹丹吃了 更多的新聞說的是護士過勞 護士被病人家屬幹譙 空姐除了肥宅白人要人擦屁股以外 其餘我沒看過了 有拉 情色史不少 甚麼機長外遇空姐 空姐外遇攝影師 你要人相挺這些 怎麼挺拉 吃飯都吃不飽了 還有空去搞這些？ 就是吃太飽 才可以搞這些阿 ,跌
67,2019-05-09,Re: [新聞] 罷工若衝擊營運 長榮航：停年終 不加薪, 有夠噁心 雖然這個版是資方腦不太意外 不過這種言論真的是噁心沒有別的形容詞了  通常反對勞方罷工的言論大概有幾種：  1.不爽不要幹 2.已經過很爽，薪水很多了 3.別人的權益呢？   要知道的是，台灣的勞動條件一直都比不上國外。 罷工必須符合幾個條件，不是想罷就罷 依據現行程序，啟動罷工前需要經歷三道關卡 一是工會會員大會決議通過 二是跟政府申請調解，調解不成立(到這裡就代表資方也不願跟勞方妥協協商) 三是獲得半數以上會員支持才能進行罷工   要知道，罷工期間是沒有薪水領的 在台灣這種地方，勞工敢罷工，等於是拿他一家大小的經濟命脈下去跟資方拼命 畢竟搞不好要被解聘，摸著良心問問，是你的話你敢嗎？有這個勇氣嗎？ 即使你有，你的老婆小孩呢？ 光是這點我就對那些敢依法定程序罷工的人敬佩三分了   不然國巨的員工幹嘛不搞罷工？ 董事酬金吃香喝辣史上最爽 結果給員工那種薪水還上新聞？這個版上卻噓國巨高層吃香喝辣？精神錯亂？ 啊怎麼都沒跟國巨的員工說不爽不要幹？奴才就乖乖蹲好？   今天罷工資方就喊砍年終跟福利 請問賺到流油的時候就分給員工多少了嗎？想必這答案你我皆知。   再看看你自己講的話  「當大老闆前人家付出甚麼？ 你付出甚麼？ 我的職場不也是這樣 一堆人看我爽 領高薪 蔣幹話 但是曾經看過我的付出嗎XD 你看大老闆開跑車開名車，不然你也努力去當大老闆阿 大老闆賠錢賠到倒閉，會有人可憐大老闆嗎」   你這邏輯跟他們罷工的邏輯有不一樣嗎？ 這個社會只會說他們爽，啊領比他們少的人又付出什麼？ 看空姐爽 領高薪 講幹話 但是曾經看過人家的付出嗎？   長期日夜顛倒 罹癌率高於常人 生理期混亂、椎間盤凸出、膝蓋發炎、尿道感染、靜脈曲張 輪班逢年過節無法跟家人團聚  犧牲團聚假期(光這點一般勞工還要跟人爭？) 沒有在服勤前三個小時請假就被懲處 你會預知自己三小時內會不會生病？有這個特殊能力，其實應該直接去當仙姑。   不爽不要幹嗎？其實你大概不知道，不爽辭職不要幹的空服員，還真的很多。 要不要自己Google看看空服員的離職率？ 再看看你自己的PTT名稱，我可能會懷疑你也許是取錯了。 最後再提一次：行使罷工權利是法律所保障的。 看看資方發這種公告，跟「威權專制」又有何兩樣呢？    -- 所以你不也是講幹話？看人家過的爽，領高薪，所以討厭空服員？ 各行各業要罷工，只要依據法定程序走  我都支持啊 ,跌
68,2019-05-13,[新聞] 年終縮水? 空服被激到 學者估通過率9成,1.原文連結： https://money.udn.com/money/story/5612/3809672  2.原文內容： 年終縮水? 空服被激到 學者估通過率9成  桃園市空服員職業工會今啟動罷工投票，長榮大學航管系教授黃泰林說，近日長榮發布的 擬砍年終聲明及前董座林寶水的信，把長榮空服員都「激到了」，預計罷工投票通過率可 能會高達九成。  不同於先前預估罷工通過率達七成，黃泰林說，因為近日資方動作頻頻，罷工可行性高， 長榮分會通過率高達八成五到九成，若加入華航會員投票，總會員數有七成機率通過。  黃泰林說，長榮治理文化一向偏日式，資方較為強勢，雙方都很難坐下來談，希望在交通 部介入後，可以翻轉公司強勢意見，勞資雙輸只會讓消費者受難。  開南大學空運管理學系副教授盧衍良說，依過往勞資協商紀錄顯示，長榮航空願意提高空 服員實質收入，但不被工會所接受，工會仍主張應調高日支費，雖說發動罷工是工會應有 權利，但也應符合情理法各層面。  3.心得/評論： 近日長榮發布的擬砍年終聲明及前董座林寶水的信，把長榮空服員都「激到了」，預計罷 工投票通過率可能會高達九成。  ,跌
70,2019-05-17,[其他] 5/17 台灣集中市場外資買賣超前30名,◆買超 代碼   股票名稱          買超張數  持有張數  持股率% 1102   亞泥                  8029    836164    24.87 2886   兆豐金                5470   3860516    28.38 3017   奇鋐                  4481    129548    36.66 1216   統一                  4478   3166372    55.72 2515   中工                  3699    149113     9.74 2313   華通                  3029    229961    19.29 3034   聯詠                  2665    433739    71.27 00672L 元大S&P原油正2        2653     22885    10.27 2454   聯發科                2553    953811    60.08 5876   上海商銀              2534   2254221    54.95 1101   台泥                  2447   1439870    28.18 2201   裕隆                  2304    121937     7.75 2324   仁寶                  2304   2283471    51.81 1722   台肥                  2127    155102    15.82 2371   大同                  1922   1001225    42.79 00636  國泰中國A50           1859     13397     3.25 4958   臻鼎-KY               1856    716087    88.98 2609   陽明                  1820    140458     6.04 2633   台灣高鐵              1586    844009    14.99 2367   燿華                  1574     70463    11.37 8039   台虹                  1543     55168    26.38 2345   智邦                  1214    238465    42.83 2406   國碩                  1165     29464     8.69 2379   瑞昱                  1021    338102    66.54 2383   台光電                1008    135248    42.31 2838   聯邦銀                 970     74456     2.76 2618   長榮航                 958   1487832    31.74 6213   聯茂                   949     60323    19.91 006205 富邦上証               914     22787     6.16 00737  國泰AI+Robo            899      3597     5.79  ◆賣超 代碼   股票名稱          賣超張數  持有張數  持股率% 00677U 富邦VIX             -48767    431359    11.03 3481   群創                -20661   3449204    34.65 0050   元大台灣50          -18398         0     0.00 2337   旺宏                -16657    214069    11.63 2303   聯電                -13436   6049783    49.89 00637L 元大滬深300正2      -12980     82964     3.79 2882   國泰金              -12067   2973386    23.66 2888   新光金              -11803   2587383    21.23 2317   鴻海                -11690   5912940    42.65 2330   台積電              -10908  20260951    78.13 00632R 元大台灣50反1       -10454    204297     4.36 2002   中鋼                 -9382   3332511    21.17 2409   友達                 -9191   3376714    35.08 2891   中信金               -8400   7945687    40.75 2449   京元電子             -8081    471417    38.55 2883   開發金               -8040   4399386    29.41 2881   富邦金               -7265   2777688    27.14 3576   聯合再生             -5824    285063    11.32 00633L 富邦上証正2          -5392     25962     4.72 1314   中石化               -4809    533712    19.76 2344   華邦電               -4679    810517    20.36 3704   合勤控               -4139     49364    11.18 2408   南亞科               -3672    645261    21.13 2823   中壽                 -3647   1149411    28.63 3037   欣興                 -3597    582327    38.69 3711   日月光投控           -3290   3259638    75.48 2890   永豐金               -3145   3361997    29.80 2014   中鴻                 -2585     55782     3.88 1402   遠東新               -2441   1237413    23.11 4927   泰鼎-KY              -2418     34615    23.95  -- ,跌
145,2019-08-02,[心得] 大盤崩壞 個股表現,遇到川普小丑都是沒辦法事情  大盤崩壞第一個殺的都是漲多 主力成本已拉開的個股 建議不要去摸底 小心遇到看破主力 直接摜殺走人  大盤開殺 好股 爛股都會殺 是危機也是轉機 能不能賺錢搶這波反彈波 就看自己眼光  挑選個股 眼光 要放在單一主力身上 像是 耀華 華邦電  旺宏 近期很熱絡的個股建議避開 因為主力太多很容易遇到看破的主力就會出現急殺盤 關廁所  而是要找一些基本面 殖利率高的個股 因為受挫消息而超跌 再從籌碼去看，只有單一主力在做他，這種只要抓到主力的成本 股價破主力價格 跌越深 越要買XD  去年1011宏致 玉山成本22~23 四千張大戶 跌到破16，哥下場去撿 三天賺十多萬入袋XD  至於該看破的看賠的 自己衡量 建議現金觀望 如果套住 賠不多 自己設停損點 破掉就砍  我知道散戶都會說服自己抱著他，然後找很多理由來催眠自己 但是你要記得你只有一筆錢，你跟外資不同，外資可以套 他沒有時間問題 但是散戶有時間問題... 平安喜樂 祝各位務必停損位置抓出來 該砍就砍 不然至少要減碼阿...QQ  版主開個 黑特 區吧 讓大家發洩XD  我沒燿華阿 我朋友燿華第一根綠k 我就叫他跑了 而且燿華還記得第一根綠k時候 我就有說了 震盪5%以上 這就有問題了 代表有主力 異常出貨... 長榮航 今天直接破15.3很好笑XD 大盤爛 連公司派都不想撐 至於華航 只要再等下去 政治議題繼續炒作 等到籌碼開始出現 散戶換手認賠時候 就可以來少量分批入場了 我會想看看8.97這根會不會破 如果破掉 又收回去我就會進場了 旺宏一堆主力在做 目前就大人打架阿 今天很明顯有大人看破再跑了 也有大人看不破 繼續買，就保佑不看破的主力願意撐盤 這種股你不用問我 因為這種我看不懂 你只要設好停損 自己能接受的價格 這隻我一個朋友也有套住 我叫他別買 他愛刺激 後果就是賠錢XD 一堆今天除息遇到川普這隻鬼 開盤直接貼息 XD 超好笑的 廣達已經在殺貼息了 廣達 慧洋 我已經一週沒看了 因為我同學都入袋了 目前大概趁這波殺一些除息股 然後洗完 整理 在開拉XD 我目前很忙阿 你沒看我都沒在閒聊 聊天 因為我一值再找超跌股的籌碼 在看他單一主力的成本價格 等他殺破後 主力不跑 我就要進場了 你看過哪個國家總統 推特治國 這不是小丑甚麼才是小丑 全球最有影響力的國家第一位置總統 靠推特治國 如果是非洲某個小國 推特根本沒人追蹤好嗎 (說不定連推特都沒有) ,跌
146,2019-08-02,[新聞] 空服罷工衝擊 長榮航Q2將認列逾8億元,1.原文連結：https://news.cnyes.com/news/id/4364357  2.原文內容：  空服罷工衝擊 長榮航Q2將認列逾8億元額外支出 鉅亨網記者王莞甯 台北2019/08/02 20:06  長榮航 (2618-TW) 今 (2) 日公告，日前桃園市空服員職業工會 (桃空職工) 無預警罷工 共 17 日，產生包括補償旅客損失和所衍生各項支出，初步估計約 8.05 億元，將認列於 第二季財報。  長榮航也說明，7 月 6 日與桃空職工勞資協商達成共識，並簽訂團體協約後，雙方協議 的第 4 項飛安服勤獎金，估計每年將增加支出約 1.31 億元。  同時，第 5 項 BR198、BR184、BR108 東京航線和 BR716 北京航線部分期間改為過夜航 班，估計每年將增加支出約 0.44 億元；而其餘訴求未涉及公司成本支出。  據統計，長榮航空服罷工事件自 6 月 20 日起至 7 月 6 日共 17 天，截至 7 月 7 日 ，罷工期間共取消 681 個航班 (來回以一航班計)，在未計其他周邊損失的情形下，累計 營收損失估計約 30.2 億元。   3.心得/評論： 長榮Q1淨利21億，去年賺65億。  罷工是在7月結束，但是認列在Q2。所以Q3、Q4更有本錢因應中國限制自由行的衝擊  -- ,跌
147,2019-08-07,[請益] 大跌時大家會怎麼處理股票?,近期買了華通 味全 佳必琪 志超 微星 中信 兆豐 長榮  才剛加碼就遇到最近時事的慘劇…  整體而言三天賠10%，目前有止跌的跡象  但不知道後續變化  想請問資深的股市老手們  通常在這種政治因素造成的跌幅  會按兵不動還是立刻認賠速速退場呀？  -- ,跌
153,2019-08-14,[請益] 2618長榮航，外資買賣問題,想請問一下 https://i.imgur.com/o2eL1KG.jpg https://i.imgur.com/4FPteJ0.jpg 08/12這邊外資是賣出-7301張 為何持股這邊數據卻是增加的呢 從1473881增加到1473938  我不太了解所以想說發問看看 感謝  -- ,跌
